id,category,topic,instruction,reference_answer,generated_answer_base,generated_answer_lora,base_correctness_1_to_5,lora_correctness_1_to_5,base_relevance_1_to_5,lora_relevance_1_to_5,base_clarity_1_to_5,lora_clarity_1_to_5,preferred_model,hallucination_present_base,hallucination_present_lora,reviewer_notes
mlds-ext-726f39fba054,metric_explanation,RMSE,Explain how to interpret RMSE in a real ML project.,"In a practical evaluation, root mean squared error is the square root of mse. Compute it as square root of mean squared error. Use it to retain target units while emphasizing large errors. Always remember: It is sensitive to outliers.",Describe how to interpret RMSE in a real project.,"RMSE interprets the RMSE in a real ML project. For example, if a RMSE is based on a real ML project, RMSE is based on a real ML project. For example, if a RMSE is based on a real ML project, RMSE is based on a real ML project.",,,,,,,,,,
mlds-ext-57360469e319,quality_analytics,quality assistant grounding,Explain how to make an internal quality-learning assistant more trustworthy.,"Use retrieval over approved, versioned documents; return source citations; restrict answers to retrieved evidence; and require abstention when support is weak. Evaluate retrieval recall, citation correctness, groundedness, and human usefulness. Protect confidential content through access controls and logging policies rather than exposing it in a public demo.",Explain how you are an educational ML and Data Science assistant.,"A quality-learning assistant should be able to measure the performance of a dataset. For example, if a dataset is based on a dataset, it should be able to measure the performance of a dataset. For example, if a dataset is based on a dataset, it should be able to measure the performance of a dataset.",,,,,,,,,,
mlds-ext-b707768a40ac,quality_analytics,supplier risk model,Explain how machine learning could support supplier risk model.,"Use historical supplier quality, delivery, material, and corrective-action features that are known before the prediction date. Validate by future time windows and supplier groups, avoid target leakage from post-event fields, and present risk drivers rather than using the score as an automatic supplier decision.",Describe how machine learning could support supplier risk model.,"Machine learning could support a supplier risk model, a model that is based on a model that is based on a model that is based on a model that is based on a model that is based on a model that is based on a model.",,,,,,,,,,
mlds-ext-9606de835323,responsible_ai,reproducible model release,Explain what should accompany a reproducible LoRA model release.,"Publish the base-model identifier, adapter configuration and weights, tokenizer reference, dataset and split fingerprint, training configuration, package versions, evaluation outputs, model card, license notes, and example inference code. State clearly whether the model is an adapter, merged model, quantized model, or base-model demo.",Describe what should be included in the LoRA model release.,"Using a reproducible LoRA model release, a reproducible LoRA model release should be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to",,,,,,,,,,
mlds-ext-c333a9d3e751,workflow_explanation,human evaluation of generated answers,Explain a practical workflow for human evaluation of an educational LLM.,"Recommended workflow: 1. Define a rubric for correctness, relevance, instruction adherence, clarity, and safety. 2. Sample prompts across categories and difficulty. 3. Blind model identity when comparing systems. 4. Use at least two reviewers for a representative subset. 5. Record disagreements and adjudication. 6. Report score distributions and examples. 7. Connect manual findings to automated metrics. Important pitfall: A single unblinded reviewer can introduce substantial subjective bias.",Describe a human evaluation process for an educational LLM.,Practical workflow for human evaluation of an educational LLM. It is based on a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of,,,,,,,,,,
mlds-ext-746144a78be4,workflow_explanation,error-analysis,What should an error analysis include?,"Segment errors by class, confidence, data source, time period, and important subgroups. Read representative false positives and false negatives, identify recurring causes, check annotation quality and leakage, and convert findings into data, feature, threshold, or modeling improvements.",ML/DS,Error analysis should be able to identify a specific error problem. It should be able to identify a specific error problem. It should be able to identify an error problem.,,,,,,,,,,
mlds-ext-ec9112efcbed,interview_answer,self-supervised learning,Give an interview-style answer explaining self-supervised learning.,"A strong interview answer is: Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. For example, pretraining a language model on unlabeled technical text and then adapting it to ticket classification. I would also mention that pretraining objectives do not guarantee downstream factual accuracy.",ML/DS,"An interview answer is: Self-supervised learning is a learning tool that can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts.",,,,,,,,,,
mlds-ext-1e0714d26ffc,example_generation,model drift,Give a practical ML example of model drift.,Practical example: a defect classifier becoming less accurate after a product redesign. Why it matters: Relationships between inputs and outcomes can evolve. Key caution: Drift detection requires timely labels or meaningful proxies.,ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,Practical example: a model drift is a model that can be used as a model based model. It can be used as a model based model. It can be used as a model based model.,,,,,,,,,,
mlds-ext-48e53e7aa70a,example_generation,quantization,Give a practical ML example of quantization.,"Practical example: using a four- or eight-bit ONNX model in a browser demo. Why it matters: It can reduce memory, download size, and inference latency. Key caution: Lower precision can affect quality and hardware compatibility.",You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant.,Practical example: quantization is a measure of the size of a sample. It is a measure of the size of a sample. It is a measure of the size of a sample.,,,,,,,,,,
mlds-ext-636bfdc6ffb6,concept_explanation,self-supervised learning,Explain self-supervised learning in simple terms.,"Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. Example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Pretraining objectives do not guarantee downstream factual accuracy.","Do not provide legal, medical, or safety-critical advice.","Self-supervised learning is a learning tool that can be used in a variety of contexts. For example, if a dataset is based on a dataset, a self-supervised learning tool can be used in a variety of contexts. For example, if a dataset is based on a dataset, a self-supervised learning tool can be used in a specific context.",,,,,,,,,,
mlds-ext-e9c769888e6b,metric_explanation,macro-weighted-f1,Explain macro F1 and weighted F1.,"Macro F1 averages class-level F1 scores equally, so rare classes matter as much as common ones. Weighted F1 weights each class by its support, so common classes influence the result more. Report per-class metrics as well when minority performance is important.",Describe the ML/DS and ML/DS.,macro F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1.,,,,,,,,,,
mlds-ext-2f78f3c3e743,interview_answer,retrieval-augmented generation,Give an interview-style answer explaining retrieval-augmented generation.,"A strong interview answer is: Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. For example, answering questions about a portfolio by retrieving README passages. I would also mention that poor retrieval or ignored evidence can still produce incorrect answers.",ML/DS,"An interview answer is: retrieval-augmented generation is a process that requires a lot of data. For example, a retrieval-augmented generation requires a lot of data. For example, a retrieval-augmented generation requires a lot of data. For example, retrieval-augmented generation requires a lot of data.",,,,,,,,,,
mlds-ext-b617b7c5dd38,concept_explanation,model drift,Explain model drift in simple terms.,Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. Example: a defect classifier becoming less accurate after a product redesign. Drift detection requires timely labels or meaningful proxies.,Describe the model drift.,Model drift is a measure of a model's performance. Model drift is a measure of a model's performance. Model drift is a measure of a model's performance. Model drift is a measure of a model's performance.,,,,,,,,,,
mlds-ext-0130527214a7,interview_answer,quantization,Give an interview-style answer explaining quantization.,"A strong interview answer is: Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. For example, using a four- or eight-bit ONNX model in a browser demo. I would also mention that lower precision can affect quality and hardware compatibility.",ML/DS,An interview answer is: Quantization is a measure of a model's value. It is a measure of a model's value. It is a measure of a model's value. It is a measure of a value.,,,,,,,,,,
