id,instruction,input,reference_answer,category,topic,topic_group,prompt,generated_answer,model,base_model_id,adapter_path,device,precision,latency_seconds,input_tokens,output_tokens,tokens_per_second,peak_gpu_memory_gb,rouge1,rouge2,rougeL,semantic_reference_similarity,semantic_prompt_similarity,semantic_relevance,bertscore_precision,bertscore_recall,bertscore_f1,adherence_score,adherence_answered,adherence_topic_coverage,adherence_format_score,adherence_no_unnecessary_refusal,adherence_length_score,adherence_repetition_score,hallucination_risk_flag,hallucination_risk_types,hallucination_risk_severity,unsupported_numbers,reference_support_score
mlds-ext-636bfdc6ffb6,Explain self-supervised learning in simple terms.,,"Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. Example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Pretraining objectives do not guarantee downstream factual accuracy.",concept_explanation,self-supervised learning,self-supervised learning,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain self-supervised learning in simple terms.

Response:","Do not provide legal, medical, or safety-critical advice.",base_model,google/flan-t5-small,,cuda,bf16,0.16915,61,15,88.6784,0.5012,0.06779661016949154,0.03508771929824561,0.06779661016949154,0.050209306,0.0064674914,0.03927385,0.74061704,0.6812457,0.7096918,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.050209
mlds-ext-981c55ca07dc,Explain semantic search in simple terms.,,"Semantic search retrieves items by meaning rather than exact keyword overlap. It can match paraphrases and related concepts. Example: finding a project about defect detection from the query 'quality issue classifier'. Embedding quality, chunking, indexing, and evaluation determine usefulness.",concept_explanation,semantic search,semantic search,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain semantic search in simple terms.

Response:","You are an educational ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",base_model,google/flan-t5-small,,cuda,bf16,0.603772,59,45,74.5315,0.5024,0.029411764705882353,0.0,0.029411764705882353,0.045310717,0.04331651,0.044812165,0.72290933,0.71773374,0.72031224,0.75,True,0.0,1.0,True,1.0,1.0,True,['low_reference_support'],review,[],0.045311
mlds-ext-d89e0e561886,Give a practical ML example of class imbalance.,,"Practical example: defects representing 2 percent of all inspected units. Why it matters: A model can appear accurate while performing poorly on the minority class. Key caution: Use class-aware metrics, suitable sampling or weighting, and threshold analysis.",example_generation,class imbalance,class imbalance,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of class imbalance.

Response:",ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.42009,63,30,71.4133,0.5019,0.037037037037037035,0.0,0.037037037037037035,0.1398904,0.22365107,0.16083057,0.6757074,0.68466586,0.6801571,0.66,True,0.0,1.0,True,0.6,0.0,True,['low_reference_support'],review,[],0.13989
mlds-ext-1e0714d26ffc,Give a practical ML example of model drift.,,Practical example: a defect classifier becoming less accurate after a product redesign. Why it matters: Relationships between inputs and outcomes can evolve. Key caution: Drift detection requires timely labels or meaningful proxies.,example_generation,model drift,model drift,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of model drift.

Response:",ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.364982,63,30,82.1959,0.5019,0.08333333333333333,0.0,0.08333333333333333,0.122865856,0.21272357,0.14533028,0.6860225,0.6891235,0.6875695,0.66,True,0.0,1.0,True,0.6,0.0,True,['low_reference_support'],review,[],0.122866
mlds-ext-48e53e7aa70a,Give a practical ML example of quantization.,,"Practical example: using a four- or eight-bit ONNX model in a browser demo. Why it matters: It can reduce memory, download size, and inference latency. Key caution: Lower precision can affect quality and hardware compatibility.",example_generation,quantization,quantization,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of quantization.

Response:",You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.477897,63,42,87.885,0.5025,0.0,0.0,0.0,0.04505082,0.1772891,0.07811039,0.67159855,0.65195584,0.6616314,0.7,True,0.0,1.0,True,1.0,0.0,True,['low_reference_support'],review,[],0.045051
mlds-ext-0c4b2a250432,Give a practical ML example of recurrent neural network.,,Practical example: processing a sequence of sensor readings. Why it matters: It models order and context in text or time-series data. Key caution: Standard RNNs can struggle with long dependencies and vanishing gradients.,example_generation,recurrent neural network,recurrent neural network,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of recurrent neural network.

Response:",ML/DS is a recurrent neural network.,base_model,google/flan-t5-small,,cuda,bf16,0.235272,66,15,63.7561,0.5015,0.04878048780487805,0.0,0.04878048780487805,0.44818997,0.64185774,0.49660692,0.7571064,0.7051488,0.7302046,0.67,False,1.0,1.0,True,0.2,1.0,False,[],none,[],0.44819
mlds-ext-f3523a1ac32e,Give a practical ML example of retrieval-augmented generation.,,Practical example: answering questions about a portfolio by retrieving README passages. Why it matters: It can improve grounding and make answers traceable to documents. Key caution: Poor retrieval or ignored evidence can still produce incorrect answers.,example_generation,retrieval-augmented generation,retrieval-augmented generation,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of retrieval-augmented generation.

Response:",ML/DS is a method of retrieval-augmented generation.,base_model,google/flan-t5-small,,cuda,bf16,0.18877,66,17,90.0566,0.5016,0.08888888888888888,0.0,0.08888888888888888,0.39924738,0.7989509,0.49917325,0.74769115,0.710546,0.72864544,0.645,False,0.9,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.399247
mlds-ext-96422ba70df9,Give a practical ML example of self-supervised learning.,,Practical example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Why it matters: It enables representation learning before a smaller supervised fine-tuning stage. Key caution: Pretraining objectives do not guarantee downstream factual accuracy.,example_generation,self-supervised learning,self-supervised learning,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of self-supervised learning.

Response:","You are an ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",base_model,google/flan-t5-small,,cuda,bf16,0.515131,65,44,85.4152,0.5026,0.11594202898550725,0.02985074626865672,0.08695652173913043,0.20784649,0.29825747,0.23044923,0.72508913,0.728911,0.726995,0.75,True,0.0,1.0,True,1.0,1.0,True,['low_reference_support'],review,[],0.207846
mlds-ext-e3cae1e5cccb,Give a practical ML example of semantic search.,,"Practical example: finding a project about defect detection from the query 'quality issue classifier'. Why it matters: It can match paraphrases and related concepts. Key caution: Embedding quality, chunking, indexing, and evaluation determine usefulness.",example_generation,semantic search,semantic search,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give a practical ML example of semantic search.

Response:","You are an educational ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",base_model,google/flan-t5-small,,cuda,bf16,0.594453,63,45,75.6999,0.5026,0.03174603174603175,0.0,0.03174603174603175,0.10226382,0.12508872,0.10797005,0.7321768,0.72779393,0.72997874,0.75,True,0.0,1.0,True,1.0,1.0,True,['low_reference_support'],review,[],0.102264
mlds-ext-5206f35df89f,Give an interview-style answer explaining class imbalance.,,"A strong interview answer is: Class imbalance means some labels occur much less often than others. A model can appear accurate while performing poorly on the minority class. For example, defects representing 2 percent of all inspected units. I would also mention that use class-aware metrics, suitable sampling or weighting, and threshold analysis.",interview_answer,class imbalance,class imbalance,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining class imbalance.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.197787,62,6,30.3356,0.5012,0.0,0.0,0.0,0.13598037,0.20251255,0.15261342,0.63786334,0.58362925,0.60954237,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.13598
mlds-ext-261a67980f43,Give an interview-style answer explaining model drift.,,"A strong interview answer is: Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. For example, a defect classifier becoming less accurate after a product redesign. I would also mention that drift detection requires timely labels or meaningful proxies.",interview_answer,model drift,model drift,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining model drift.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.225414,62,6,26.6177,0.5012,0.0,0.0,0.0,0.05168018,0.17535555,0.08259903,0.62930906,0.58520865,0.6064582,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.05168
mlds-ext-0130527214a7,Give an interview-style answer explaining quantization.,,"A strong interview answer is: Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. For example, using a four- or eight-bit ONNX model in a browser demo. I would also mention that lower precision can affect quality and hardware compatibility.",interview_answer,quantization,quantization,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining quantization.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.171957,62,6,34.8924,0.5011,0.0,0.0,0.0,0.17676738,0.1959965,0.18157467,0.6399783,0.5838667,0.6106362,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.176767
mlds-ext-e1bef5712e5d,Give an interview-style answer explaining recurrent neural network.,,"A strong interview answer is: A recurrent neural network updates a hidden state while processing a sequence. It models order and context in text or time-series data. For example, processing a sequence of sensor readings. I would also mention that standard rnns can struggle with long dependencies and vanishing gradients.",interview_answer,recurrent neural network,recurrent neural network,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining recurrent neural network.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.183767,65,6,32.6501,0.5013,0.0,0.0,0.0,0.099581525,0.22026336,0.12975198,0.65450144,0.59197235,0.6216685,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.099582
mlds-ext-2f78f3c3e743,Give an interview-style answer explaining retrieval-augmented generation.,,"A strong interview answer is: Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. For example, answering questions about a portfolio by retrieving README passages. I would also mention that poor retrieval or ignored evidence can still produce incorrect answers.",interview_answer,retrieval-augmented generation,retrieval-augmented generation,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining retrieval-augmented generation.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.215458,65,6,27.8476,0.5012,0.0,0.0,0.0,0.08861275,0.10052882,0.091591775,0.6268986,0.57864857,0.601808,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.088613
mlds-ext-ec9112efcbed,Give an interview-style answer explaining self-supervised learning.,,"A strong interview answer is: Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. For example, pretraining a language model on unlabeled technical text and then adapting it to ticket classification. I would also mention that pretraining objectives do not guarantee downstream factual accuracy.",interview_answer,self-supervised learning,self-supervised learning,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining self-supervised learning.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.160312,64,6,37.4269,0.5012,0.0,0.0,0.0,0.062555,0.21521349,0.10071962,0.63655835,0.57506776,0.60425276,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.062555
mlds-ext-b61bc960dfec,Give an interview-style answer explaining semantic search.,,"A strong interview answer is: Semantic search retrieves items by meaning rather than exact keyword overlap. It can match paraphrases and related concepts. For example, finding a project about defect detection from the query 'quality issue classifier'. I would also mention that embedding quality, chunking, indexing, and evaluation determine usefulness.",interview_answer,semantic search,semantic search,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Give an interview-style answer explaining semantic search.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.097934,62,6,61.2659,0.5008,0.0,0.0,0.0,-0.00034704432,0.0991924,0.024537817,0.6231297,0.5838872,0.6028705,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],-0.000347
mlds-ext-e9c769888e6b,Explain macro F1 and weighted F1.,,"Macro F1 averages class-level F1 scores equally, so rare classes matter as much as common ones. Weighted F1 weights each class by its support, so common classes influence the result more. Report per-class metrics as well when minority performance is important.",metric_explanation,macro-weighted-f1,macro-weighted-f1,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain macro F1 and weighted F1.

Response:",Describe the ML/DS and ML/DS.,base_model,google/flan-t5-small,,cuda,bf16,0.185934,62,15,80.6737,0.5012,0.04,0.0,0.04,0.22943701,0.29982066,0.24703293,0.7228685,0.683973,0.70288306,0.17,False,0.0,0.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.229437
mlds-ext-db8dfa38702f,Explain precision and recall with a practical example.,,"Imagine a defect-alert model. Precision asks: among all units flagged as defective, how many were truly defective? Recall asks: among all truly defective units, how many did the model catch? Raise precision when false alarms are expensive; raise recall when missed defects are dangerous.",metric_explanation,precision and recall,precision and recall,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain precision and recall with a practical example.

Response:",Describe the ML/DS learning assistant. Explain the ML/DS learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.274262,62,21,76.569,0.5014,0.03508771929824561,0.0,0.03508771929824561,0.14819601,0.3163852,0.1902433,0.71033823,0.6603695,0.6844431,0.165,False,0.0,0.0,True,0.6,0.1,True,['low_reference_support'],review,[],0.148196
mlds-ext-95b0c749ba1f,Explain RMSE as a model-evaluation metric.,,Root Mean Squared Error is the square root of MSE. Formula: square root of mean squared error. Use it to retain target units while emphasizing large errors. Limitation: It is sensitive to outliers.,metric_explanation,RMSE,rmse,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain RMSE as a model-evaluation metric.

Response:",Describe RMSE as a model-evaluation metric.,base_model,google/flan-t5-small,,cuda,bf16,0.237036,67,18,75.9378,0.5016,0.0,0.0,0.0,0.49743244,0.969584,0.6154703,0.79408574,0.72281384,0.75677544,0.42,False,1.0,0.0,True,0.2,1.0,False,[],none,[],0.497432
mlds-ext-726f39fba054,Explain how to interpret RMSE in a real ML project.,,"In a practical evaluation, root mean squared error is the square root of mse. Compute it as square root of mean squared error. Use it to retain target units while emphasizing large errors. Always remember: It is sensitive to outliers.",metric_explanation,RMSE,rmse,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain how to interpret RMSE in a real ML project.

Response:",Describe how to interpret RMSE in a real project.,base_model,google/flan-t5-small,,cuda,bf16,0.209153,67,16,76.4988,0.5015,0.12244897959183673,0.0425531914893617,0.0816326530612245,0.5195431,0.909706,0.6170838,0.79452085,0.72154176,0.7562748,0.42,False,1.0,0.0,True,0.2,1.0,False,[],none,[],0.519543
mlds-ext-57360469e319,Explain how to make an internal quality-learning assistant more trustworthy.,,"Use retrieval over approved, versioned documents; return source citations; restrict answers to retrieved evidence; and require abstention when support is weak. Evaluate retrieval recall, citation correctness, groundedness, and human usefulness. Protect confidential content through access controls and logging policies rather than exposing it in a public demo.",quality_analytics,quality assistant grounding,quality assistant grounding,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain how to make an internal quality-learning assistant more trustworthy.

Response:",Explain how you are an educational ML and Data Science assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.20791,65,15,72.1467,0.5013,0.034482758620689655,0.0,0.034482758620689655,0.32420304,0.4668374,0.35986164,0.74592096,0.7123953,0.72877276,0.46,False,0.0,1.0,True,0.6,1.0,True,['low_reference_support'],review,[],0.324203
mlds-ext-b707768a40ac,Explain how machine learning could support supplier risk model.,,"Use historical supplier quality, delivery, material, and corrective-action features that are known before the prediction date. Validate by future time windows and supplier groups, avoid target leakage from post-event fields, and present risk drivers rather than using the score as an automatic supplier decision.",quality_analytics,supplier risk model,supplier risk model,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain how machine learning could support supplier risk model.

Response:",Describe how machine learning could support supplier risk model.,base_model,google/flan-t5-small,,cuda,bf16,0.13626,62,13,95.4056,0.5011,0.07272727272727274,0.0,0.07272727272727274,0.6535835,0.98108184,0.73545814,0.8068908,0.75666845,0.780973,0.67,False,1.0,1.0,True,0.2,1.0,False,[],none,[],0.653584
mlds-ext-9606de835323,Explain what should accompany a reproducible LoRA model release.,,"Publish the base-model identifier, adapter configuration and weights, tokenizer reference, dataset and split fingerprint, training configuration, package versions, evaluation outputs, model card, license notes, and example inference code. State clearly whether the model is an adapter, merged model, quantized model, or base-model demo.",responsible_ai,reproducible model release,reproducible model release,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain what should accompany a reproducible LoRA model release.

Response:",Describe what should be included in the LoRA model release.,base_model,google/flan-t5-small,,cuda,bf16,0.185782,65,15,80.7399,0.5013,0.07272727272727272,0.0,0.07272727272727272,0.35338312,0.75501376,0.45379078,0.75745255,0.7222172,0.7394153,0.685,False,0.9,1.0,True,0.6,1.0,True,['low_reference_support'],review,[],0.353383
