id,instruction,category,topic,reference_answer,generated_answer_base,bertscore_f1_base,rougeL_base,semantic_relevance_base,adherence_score_base,reference_support_score_base,hallucination_risk_flag_base,latency_seconds_base,tokens_per_second_base,generated_answer_lora,bertscore_f1_lora,rougeL_lora,semantic_relevance_lora,adherence_score_lora,reference_support_score_lora,hallucination_risk_flag_lora,latency_seconds_lora,tokens_per_second_lora,delta_bertscore_f1,delta_rougeL,delta_semantic_relevance,delta_adherence_score,delta_reference_support_score,delta_tokens_per_second,delta_latency_seconds,hallucination_risk_improved
mlds-ext-f3523a1ac32e,Give a practical ML example of retrieval-augmented generation.,example_generation,retrieval-augmented generation,Practical example: answering questions about a portfolio by retrieving README passages. Why it matters: It can improve grounding and make answers traceable to documents. Key caution: Poor retrieval or ignored evidence can still produce incorrect answers.,ML/DS is a method of retrieval-augmented generation.,0.72864544,0.08888888888888888,0.49917325,0.645,0.399247,True,0.18877,90.0566,Practical example: retrieval-augmented generation is an example of retrieval-augmented generation. It is an example of retrieval-augmented generation. It is an example of retrieval-augmented generation. It is an example of retrieval-augmented generation.,0.73666275,0.16666666666666666,0.47387478,0.95,0.364915,True,0.833263,63.6054,0.008017302,0.07777777777777778,-0.025298476,0.30499999999999994,-0.03433200000000003,-26.4512,-0.644493,0
mlds-ext-96422ba70df9,Give a practical ML example of self-supervised learning.,example_generation,self-supervised learning,Practical example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Why it matters: It enables representation learning before a smaller supervised fine-tuning stage. Key caution: Pretraining objectives do not guarantee downstream factual accuracy.,"You are an ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",0.726995,0.08695652173913043,0.23044923,0.75,0.207846,True,0.515131,85.4152,Practical example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning.,0.73647743,0.08988764044943819,0.49965477,0.95,0.409043,True,1.025009,64.3897,0.009482443,0.0029311187103077535,0.26920554,0.19999999999999996,0.201197,-21.025499999999994,-0.509878,0
mlds-ext-e3cae1e5cccb,Give a practical ML example of semantic search.,example_generation,semantic search,"Practical example: finding a project about defect detection from the query 'quality issue classifier'. Why it matters: It can match paraphrases and related concepts. Key caution: Embedding quality, chunking, indexing, and evaluation determine usefulness.","You are an educational ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",0.72997874,0.03174603174603175,0.10797005,0.75,0.102264,True,0.594453,75.6999,Practical example: a lexical search with a lexical filter. It is a lexical search with a lexical filter and a lexical filter.,0.7614638,0.17857142857142858,0.47654194,0.93,0.426088,False,0.884502,47.4843,0.03148508,0.14682539682539683,0.36857188,0.18000000000000005,0.323824,-28.215600000000002,-0.290049,1
mlds-ext-5206f35df89f,Give an interview-style answer explaining class imbalance.,interview_answer,class imbalance,"A strong interview answer is: Class imbalance means some labels occur much less often than others. A model can appear accurate while performing poorly on the minority class. For example, defects representing 2 percent of all inspected units. I would also mention that use class-aware metrics, suitable sampling or weighting, and threshold analysis.",ML/DS,0.60954237,0.0,0.15261342,0.42,0.13598,True,0.197787,30.3356,A good interview answer is: Class imbalance is a result of class imbalance. Class imbalance is a result of class imbalance. Class imbalance is a result of class imbalance.,0.79465395,0.24096385542168677,0.73236465,0.925,0.72281,False,0.611215,62.1712,0.18511158,0.24096385542168677,0.57975125,0.5050000000000001,0.58683,31.8356,-0.41342799999999996,1
mlds-ext-261a67980f43,Give an interview-style answer explaining model drift.,interview_answer,model drift,"A strong interview answer is: Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. For example, a defect classifier becoming less accurate after a product redesign. I would also mention that drift detection requires timely labels or meaningful proxies.",ML/DS,0.6064582,0.0,0.08259903,0.42,0.05168,True,0.225414,26.6177,An interview answer is: Model drift is a model that can be used in a model. It is a model that can be used in a model. It is a model that can be used in a model. It can be used in a model.,0.7793789,0.2765957446808511,0.7226849,0.7,0.7315,False,1.07622,54.8215,0.1729207,0.2765957446808511,0.6400859,0.27999999999999997,0.6798200000000001,28.2038,-0.850806,1
mlds-ext-0130527214a7,Give an interview-style answer explaining quantization.,interview_answer,quantization,"A strong interview answer is: Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. For example, using a four- or eight-bit ONNX model in a browser demo. I would also mention that lower precision can affect quality and hardware compatibility.",ML/DS,0.6106362,0.0,0.18157467,0.42,0.176767,True,0.171957,34.8924,An interview answer is: Quantization is a measure of a model's value. It is a measure of a model's value. It is a measure of a model's value. It is a measure of a value.,0.766735,0.22727272727272727,0.5381923,0.7,0.466937,False,0.88532,64.3835,0.15609884,0.22727272727272727,0.3566176,0.27999999999999997,0.29017,29.491099999999996,-0.713363,1
mlds-ext-e1bef5712e5d,Give an interview-style answer explaining recurrent neural network.,interview_answer,recurrent neural network,"A strong interview answer is: A recurrent neural network updates a hidden state while processing a sequence. It models order and context in text or time-series data. For example, processing a sequence of sensor readings. I would also mention that standard rnns can struggle with long dependencies and vanishing gradients.",ML/DS,0.6216685,0.0,0.12975198,0.42,0.099582,True,0.183767,32.6501,An interview answer is: Recurrent neural network is a recurrent neural network. It is a recurrent neural network. It is a recurrent neural network. It is a recurrent network.,0.82229435,0.275,0.6684766,0.95,0.655365,False,0.754327,64.9586,0.20062584,0.275,0.5387246,0.53,0.5557829999999999,32.3085,-0.57056,1
mlds-ext-2f78f3c3e743,Give an interview-style answer explaining retrieval-augmented generation.,interview_answer,retrieval-augmented generation,"A strong interview answer is: Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. For example, answering questions about a portfolio by retrieving README passages. I would also mention that poor retrieval or ignored evidence can still produce incorrect answers.",ML/DS,0.601808,0.0,0.091591775,0.42,0.088613,True,0.215458,27.8476,"An interview answer is: retrieval-augmented generation is a process that requires a lot of data. For example, a retrieval-augmented generation requires a lot of data. For example, a retrieval-augmented generation requires a lot of data. For example, retrieval-augmented generation requires a lot of data.",0.79438496,0.25,0.58816254,0.8125,0.583656,False,1.196476,61.0125,0.19257694,0.25,0.49657077,0.3925,0.49504299999999996,33.1649,-0.9810180000000001,1
mlds-ext-ec9112efcbed,Give an interview-style answer explaining self-supervised learning.,interview_answer,self-supervised learning,"A strong interview answer is: Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. For example, pretraining a language model on unlabeled technical text and then adapting it to ticket classification. I would also mention that pretraining objectives do not guarantee downstream factual accuracy.",ML/DS,0.60425276,0.0,0.10071962,0.42,0.062555,True,0.160312,37.4269,"An interview answer is: Self-supervised learning is a learning tool that can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts. For example, self-supervised learning can be used in a variety of contexts.",0.7692863,0.2,0.674671,0.8125,0.655896,False,1.465191,55.9654,0.16503352,0.2,0.57395136,0.3925,0.593341,18.5385,-1.304879,1
mlds-ext-b61bc960dfec,Give an interview-style answer explaining semantic search.,interview_answer,semantic search,"A strong interview answer is: Semantic search retrieves items by meaning rather than exact keyword overlap. It can match paraphrases and related concepts. For example, finding a project about defect detection from the query 'quality issue classifier'. I would also mention that embedding quality, chunking, indexing, and evaluation determine usefulness.",ML/DS,0.6028705,0.0,0.024537817,0.42,-0.000347,True,0.097934,61.2659,"A good interview answer is: semantic search is a way to identify a particular object. For example, if a specific object is a model of a particular object. For example, if a specific object is a model of a specific object. For example, if a specific object is a model of a specific object. For example, if a specific object is a model of a specific object.",0.767273,0.15384615384615385,0.66571265,0.8125,0.647076,False,1.573415,61.6493,0.16440248,0.15384615384615385,0.64117485,0.3925,0.647423,0.38339999999999463,-1.475481,1
mlds-ext-e9c769888e6b,Explain macro F1 and weighted F1.,metric_explanation,macro-weighted-f1,"Macro F1 averages class-level F1 scores equally, so rare classes matter as much as common ones. Weighted F1 weights each class by its support, so common classes influence the result more. Report per-class metrics as well when minority performance is important.",Describe the ML/DS and ML/DS.,0.70288306,0.04,0.24703293,0.17,0.229437,True,0.185934,80.6737,macro F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1 weighted F1.,0.7853543,0.1904761904761905,0.7021502,0.7,0.655897,False,0.816813,61.2136,0.08247125,0.15047619047619049,0.4551173,0.5299999999999999,0.42645999999999995,-19.460099999999997,-0.630879,1
mlds-ext-db8dfa38702f,Explain precision and recall with a practical example.,metric_explanation,precision and recall,"Imagine a defect-alert model. Precision asks: among all units flagged as defective, how many were truly defective? Recall asks: among all truly defective units, how many did the model catch? Raise precision when false alarms are expensive; raise recall when missed defects are dangerous.",Describe the ML/DS learning assistant. Explain the ML/DS learning assistant.,0.6844431,0.03508771929824561,0.1902433,0.165,0.148196,True,0.274262,76.569,Precision recall is a measure of a model's performance. It is a measure of a model's performance. It is a measure of a model's performance. It is a measure of a model's performance.,0.7193259,0.07317073170731708,0.63684416,0.675,0.599273,False,0.846697,64.9583,0.034882784,0.03808301240907147,0.44660085,0.51,0.45107699999999995,-11.610700000000008,-0.572435,1
mlds-ext-95b0c749ba1f,Explain RMSE as a model-evaluation metric.,metric_explanation,RMSE,Root Mean Squared Error is the square root of MSE. Formula: square root of mean squared error. Use it to retain target units while emphasizing large errors. Limitation: It is sensitive to outliers.,Describe RMSE as a model-evaluation metric.,0.75677544,0.0,0.6154703,0.42,0.497432,False,0.237036,75.9378,RMSE is a model-evaluation metric that compares a model to a model. It is a model-evaluation metric that compares a model to a model.,0.7356251,0.1694915254237288,0.6642846,0.7,0.585519,False,0.720893,66.5841,-0.02115035,0.1694915254237288,0.048814297,0.27999999999999997,0.08808700000000003,-9.35369999999999,-0.483857,0
mlds-ext-726f39fba054,Explain how to interpret RMSE in a real ML project.,metric_explanation,RMSE,"In a practical evaluation, root mean squared error is the square root of mse. Compute it as square root of mean squared error. Use it to retain target units while emphasizing large errors. Always remember: It is sensitive to outliers.",Describe how to interpret RMSE in a real project.,0.7562748,0.0816326530612245,0.6170838,0.42,0.519543,False,0.209153,76.4988,"RMSE interprets the RMSE in a real ML project. For example, if a RMSE is based on a real ML project, RMSE is based on a real ML project. For example, if a RMSE is based on a real ML project, RMSE is based on a real ML project.",0.7101957,0.08988764044943819,0.54152465,0.7,0.450312,False,1.6095,55.2967,-0.0460791,0.008254987388213689,-0.07555914,0.27999999999999997,-0.06923099999999999,-21.2021,-1.400347,0
mlds-ext-57360469e319,Explain how to make an internal quality-learning assistant more trustworthy.,quality_analytics,quality assistant grounding,"Use retrieval over approved, versioned documents; return source citations; restrict answers to retrieved evidence; and require abstention when support is weak. Evaluate retrieval recall, citation correctness, groundedness, and human usefulness. Protect confidential content through access controls and logging policies rather than exposing it in a public demo.",Explain how you are an educational ML and Data Science assistant.,0.72877276,0.034482758620689655,0.35986164,0.46,0.324203,True,0.20791,72.1467,"A quality-learning assistant should be able to measure the performance of a dataset. For example, if a dataset is based on a dataset, it should be able to measure the performance of a dataset. For example, if a dataset is based on a dataset, it should be able to measure the performance of a dataset.",0.6978072,0.07766990291262135,0.30333623,0.88,0.227335,True,1.49182,53.6258,-0.030965567,0.0431871442919317,-0.05652541,0.42,-0.09686800000000001,-18.520899999999997,-1.2839099999999999,0
mlds-ext-b707768a40ac,Explain how machine learning could support supplier risk model.,quality_analytics,supplier risk model,"Use historical supplier quality, delivery, material, and corrective-action features that are known before the prediction date. Validate by future time windows and supplier groups, avoid target leakage from post-event fields, and present risk drivers rather than using the score as an automatic supplier decision.",Describe how machine learning could support supplier risk model.,0.780973,0.07272727272727274,0.73545814,0.67,0.653584,False,0.13626,95.4056,"Machine learning could support a supplier risk model, a model that is based on a model that is based on a model that is based on a model that is based on a model that is based on a model that is based on a model.",0.733503,0.043478260869565216,0.62299037,0.95,0.535046,False,1.195742,53.5233,-0.047470033,-0.02924901185770752,-0.112467766,0.2799999999999999,-0.11853800000000003,-41.88230000000001,-1.059482,0
mlds-ext-9606de835323,Explain what should accompany a reproducible LoRA model release.,responsible_ai,reproducible model release,"Publish the base-model identifier, adapter configuration and weights, tokenizer reference, dataset and split fingerprint, training configuration, package versions, evaluation outputs, model card, license notes, and example inference code. State clearly whether the model is an adapter, merged model, quantized model, or base-model demo.",Describe what should be included in the LoRA model release.,0.7394153,0.07272727272727272,0.45379078,0.685,0.353383,True,0.185782,80.7399,"Using a reproducible LoRA model release, a reproducible LoRA model release should be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to",0.6441102,0.021505376344086023,0.36869103,0.925,0.274336,True,3.321824,58.1006,-0.095305085,-0.0512218963831867,-0.08509976,0.24,-0.07904699999999998,-22.639300000000006,-3.1360419999999998,0
mlds-ext-746144a78be4,What should an error analysis include?,workflow_explanation,error-analysis,"Segment errors by class, confidence, data source, time period, and important subgroups. Read representative false positives and false negatives, identify recurring causes, check annotation quality and leakage, and convert findings into data, feature, threshold, or modeling improvements.",ML/DS,0.6262424,0.0,0.14429358,0.17,0.164953,True,0.069041,86.9054,Error analysis should be able to identify a specific error problem. It should be able to identify a specific error problem. It should be able to identify an error problem.,0.72922355,0.05970149253731343,0.5645499,0.7,0.513252,False,0.627388,66.9442,0.10298115,0.05970149253731343,0.42025635,0.5299999999999999,0.348299,-19.961200000000005,-0.5583469999999999,1
mlds-ext-c333a9d3e751,Explain a practical workflow for human evaluation of an educational LLM.,workflow_explanation,human evaluation of generated answers,"Recommended workflow: 1. Define a rubric for correctness, relevance, instruction adherence, clarity, and safety. 2. Sample prompts across categories and difficulty. 3. Blind model identity when comparing systems. 4. Use at least two reviewers for a representative subset. 5. Record disagreements and adjudication. 6. Report score distributions and examples. 7. Connect manual findings to automated metrics. Important pitfall: A single unblinded reviewer can introduce substantial subjective bias.",Describe a human evaluation process for an educational LLM.,0.7320865,0.052631578947368425,0.58294237,0.42,0.475644,False,0.167356,89.6292,Practical workflow for human evaluation of an educational LLM. It is based on a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of,0.70078796,0.04716981132075472,0.43856624,0.7,0.372754,True,3.223708,59.8689,-0.03129852,-0.005461767626613705,-0.14437613,0.27999999999999997,-0.10289000000000004,-29.7603,-3.056352,-1
