direction,source_text,reference_translation,predicted_translation,sentence_bleu,sentence_chrf,sentence_ter,heuristic_error_category,human_error_category,human_severity,human_translation_quality,human_notes
en_hi,One of the such personalities is the late Dhirubhai Ambani.,ऐसी ही शख्सियतों में एक नाम स्व. धीरूभाई अंबानी का भी आता है।,इन्हीं में से एक है दृढभाई एम्बी।,2.8731,12.4802,92.8571,possible_under_translation,named_entity,high,weak,"Dhirubhai Ambani's name is substantially corrupted, making the identity unreliable."
en_hi,After the STF's revelation the medical examination department has started considering cancelling these students' admissions.,एसटीएफ के खुलासे के बाद चिकित्सा शिक्षा विभाग ने इन छात्रों के प्रवेश निरस्त करने के लिए मंथन शुरू कर दिया है।,इन विद्यार्थियों की स्वीकृति को रद्द करने की सोच रही है।,1.8145,12.5305,90.9091,possible_under_translation,under_translation,medium,acceptable,"The central cancellation idea is retained, but the STF revelation and medical education department are omitted."
en_hi,"However, the absence of bowler Michael Johnson could make things difficult.",गेंदबाजी में मिशेल जॉनसन की कमी ऑस्ट्रेलिया को भारी पड़ सकती है।,लेकिन कपर का अभाव माइकल जानन चीजों को कठिन बना सकता है।,4.0272,12.7737,83.3333,low_metric_review,named_entity,medium,acceptable,"Michael Johnson's name and his role as a bowler are corrupted, although the general sentence structure remains."
en_hi,"Due to the rains along with strong winds in Jammu in the early morning of Thursday, the cold increased at night.",वहीं जम्मू में भी वीरवार तड़के तेज हवा के साथ हुई बारिश के कारण रात के समय ठंड बढ़ गई है।,"बम्मू की सुबह सुबह, रात को गर्मी बढ़ती जा रही थी।",1.5997,12.811,95.2381,low_metric_review,other,high,weak,The prediction reverses the meaning from increased cold to increased heat and omits the rain and strong winds.
hi_en,ब्लेयर का कहना है कि वे ब्रिटेन वापसी चाहते हैं,Blair says he'd like UK comeback,Goro says that he wants to return to Britain,4.7677,12.9894,133.3333,low_metric_review,named_entity,high,weak,"Blair is incorrectly replaced by Goro, even though the wish to return to Britain is retained."
en_hi,"Other than the Director of the PGI and fire department, Principal Director and DHS Sector 16 GMSH and Sector 32 GMCH staff of other dispensaries were also asked to be on high alert for emergencies.","पुलिस ने दमकल विभाग और पीजीआइ के डायरेक्टर, प्रिंसिपल डायरेक्टर व डीएचएस सहित सेक्टर-16 जीएमएसएच व सेक्टर-32 जीएमसीएच प्रबंधन के अलावा अन्य डिस्पेंसरियों के स्टाफ से आपातकालीन समय में हाई अलर्ट रखने को कहा गया।","पी. पी. और अग्नि विभाग के निदेशक, प्रधान निदेशक और डी. एस. 16 जी. एस. और अन्य उद्यमियों के से 32 एम. जी. सी. जी. सी. एस. सी. सी. ए. ए. सी. ए. ए. ए. ए. सी. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. ए. डी. ए. ए. डी. ए. डी. ए. ए. ए. ए. ए. ए.",0.3675,13.1474,425,low_metric_review,other,high,weak,"The prediction is mostly incoherent, contains extensive repetition, and omits the emergency high-alert instruction."
en_hi,There were no traces of poison in the body.,बाघिन के शव से जहर आदि के कोई लक्षण नहीं मिले हैं।,शरीर में विष का कोई निशान नहीं था।,3.9833,13.3896,83.3333,low_metric_review,good_translation,low,good,The prediction accurately preserves the meaning that no traces of poison were found in the body.
en_hi,"The rep adds: ""Perhaps she is confusing him with someone else.""","प्रतिनिधि ने यह भी कहाः ""संभवतः पैरी, किसी अन्य व्यक्ति की गलतफहमी में उनके बारे में कह रही हैं""","पुनर्वास आगे कहता है, ""शायद वह उसे किसी और के साथ परेशान कर रही है।""",2.5716,13.7703,81.8182,low_metric_review,other,medium,weak,The prediction mistranslates representative and changes confusing someone with another person into troubling them.
en_hi,"Pamela Anderson chops off those iconic blonde locks, debuts dramatic new pixie cut.","पामेला एंडरसन ने अपनी जानी मानी सुनहरी जुल्फों को कटवा लिया है, और अब वे नए नाटकीय पिक्सी कट के साथ स्क्रीन पर आ रही हैं।","इन प्रतीकीय बोरियों को काटने के बाद, इन प्रतीकों को नष्ट कर दिया जाता है।",1.6184,13.819,92.5926,low_metric_review,other,high,weak,"The prediction loses Pamela Anderson, the haircut, and the pixie-cut meaning almost completely."
en_hi,Court blocks ruling on NYPD stop-and-frisk policy,कोर्ट ने न्यूयार्क पुलिस विभाग के विराम और क्रीड़ा नीति पर कार्रवाई को अवरोधित किया है,राष्ट्रीय बंद-और-करी नीति पर न्यायालयीय ब्लॉक,3.0661,13.8304,87.5,possible_under_translation,technical_terminology,high,weak,The NYPD and stop-and-frisk policy terminology are incorrectly translated and important context is missing.
hi_en,इस समय वे 62000 करोड़ रुपए के मालिक थे।,"When he died he had Rs 62,000 crores.",At this time he was the owner of 62 million rupees.,4.0272,14.1256,111.1111,number_mismatch,number_or_date,high,weak,"The amount of 62,000 crore rupees is incorrectly converted to 62 million rupees."
hi_en,यह बात तुझे सबसे अधिक परेशान करती है।,That is what troubles me most of all.,This upsets you most.,5.708,14.1938,77.7778,low_metric_review,good_translation,low,good,The prediction accurately matches the Hindi source meaning; the provided reference appears to use the wrong pronoun.
hi_en,उसे लिवरपूल क्राउन कोर्ट ने तीन वर्ष जेल की सजा दी थी,Was given a three-year prison sentence at Liverpool Crown Court,He had spent three years in jail,0,14.373,100,possible_under_translation,missing_information,high,weak,The prediction changes being given a sentence into having served time and omits Liverpool Crown Court.
en_hi,Frontier Airlines to charge for carry-on baggage,Frontier एयरलाइंस कैरी - ऑन बैगेज का शुल्क लगाएंगे,ले जाने के लिए आरोपी एयरलाइन,0,14.8457,100,low_metric_review,other,high,weak,The prediction does not preserve the meaning that Frontier Airlines will charge for carry-on baggage.
en_hi,When the thirteenth day of the Kartik month is celebrated as Dhanteras it is considered to be a sign of a Happy Diwali.,ऐसे में जब कार्तिक मास की कृष्ण पक्ष की त्रयोदशी धनत्रयोदशी के रूप मे मनाई जाने वाले धनतेरस पर खरीदारी शुभ दीपावली के संकेत हैं।,जब करिक महीने का तेरहवां दिन मनाया जाता है तो इसे एक प्रसन्नतापूर्ण देवी की निशानी माना जाता है।,1.7556,14.9001,96,low_metric_review,named_entity,high,weak,"Dhanteras and Diwali are incorrectly rendered, and important cultural meaning is lost."
en_hi,"After the robbery, the robbers left waving pistols.",लूटपाट के बाद बदमाश तमंचे लहराते हुए फरार हो गए।,"चोरी के बाद, डाकू गोलीबारी को छोड़कर चले गए।",9.2875,15.0576,70,low_metric_review,technical_terminology,medium,acceptable,"The robbery and departure are retained, but waving pistols is inaccurately translated as leaving gunfire."
hi_en,वे बहुत अच्छी जोड़ी हैं।,They are a great team together.,They 're very good pair.,8.1706,15.165,71.4286,low_metric_review,word_order,low,acceptable,"The meaning is preserved, but the English grammar is unnatural and requires the article a before very good pair."
