id,instruction,input,output,category,difficulty,topic,source,split
ml_ds_v3_0027,"Teach the core idea of R-squared using a definition, intuition, example, and caveat.",Write for an intermediate ML learner and keep every section technically precise.,"Definition: R-squared is the proportion of target variance explained by a regression model relative to predicting the target mean. Intuition: It compares the model's squared error with a simple mean baseline. Example: An R-squared of 0.70 means the model explains 70 percent of the variance in the evaluated data under that definition. Important caveat: A high R-squared does not prove causality, unbiased predictions, or good performance on future data.",Concept explanation,intermediate,R-squared,expert-curated-v3-topic-card,train
ml_ds_v3_0197,"Teach the core idea of decision tree using a definition, intuition, example, and caveat.",Write for an intermediate ML learner and keep every section technically precise.,"Definition: A decision tree recursively splits the feature space into regions and predicts from the observations in each terminal leaf. Intuition: It behaves like a sequence of if-then questions. Example: A tree may first split on temperature, then on pressure, to estimate failure risk. Important caveat: Deep trees can overfit and small data changes can produce a different tree.",Concept explanation,intermediate,decision tree,expert-curated-v3-topic-card,train
ml_ds_v3_0161,Perform model error analysis.,,"Create a table of false positives and false negatives, segment errors by meaningful features, inspect difficult or mislabeled cases, compare errors across models, identify actionable causes, and convert findings into data, feature, or process improvements.",Data Science workflow,intermediate,end-to-end workflow,self-authored-synthetic,train
ml_ds_v3_0058,Handle missing values.,,"Measure missingness by column and segment, investigate why values are missing, choose deletion or imputation based on mechanism and impact, fit imputers only on training data, add missing indicators when useful, and verify that production preprocessing matches training.",Data Science workflow,intermediate,end-to-end workflow,self-authored-synthetic,train
ml_ds_v3_0230,Describe how to design a held-out benchmark for an educational ML assistant.,Present actionable steps and include evaluation or governance safeguards.,"Cover the supported topics, task types, difficulty levels, code questions, quality scenarios, and known failure modes. Write reference answers independently from the training prompts. Keep the benchmark immutable and excluded from dataset generation. Evaluate every experiment with identical prompts and decoding settings. Store per-example outputs so human reviewers can inspect improvements and regressions rather than relying only on averages.",Data Science workflow,advanced,benchmark design,expert-curated-v3-workflow,train
ml_ds_v3_0004,Outline a leakage-safe workflow for building a quality classification model from historical inspection data.,Present actionable steps and include evaluation or governance safeguards.,"1. Define the prediction time, positive class, and decision supported by the model. 2. Audit labels, repeated units, customers, lots, and time fields. 3. Create a group-aware or temporal train-validation-test design. 4. Put imputation, encoding, scaling, and feature selection inside a pipeline. 5. Compare an interpretable baseline with stronger models. 6. Evaluate precision, recall, F1, calibration, subgroup performance, and error cases. 7. Document limitations, obtain domain review, and monitor input and outcome drift after deployment.",Data Science workflow,advanced,quality classification workflow,expert-curated-v3-workflow,train
ml_ds_v3_0009,Create a short learning example that demonstrates full fine-tuning and then explain why the example is not sufficient by itself.,The answer must separate the example from the caveat.,"Example: A large labeled corpus can be used to update every layer of a language model. Why that is not sufficient by itself: Full fine-tuning can be expensive, overfit small datasets, and create a separate large checkpoint for each task.",Example generation,intermediate,full fine-tuning,expert-curated-v3-topic-card,test
ml_ds_v3_0116,Create a short learning example that demonstrates L1 regularization and then explain why the example is not sufficient by itself.,The answer must separate the example from the caveat.,"Example: Lasso regression can perform prediction while removing weak linear features. Why that is not sufficient by itself: With highly correlated predictors, L1 may select one feature somewhat arbitrarily and discard others with similar information.",Example generation,intermediate,L1 regularization,expert-curated-v3-topic-card,train
ml_ds_v3_0181,Create a short learning example that demonstrates supervised learning and then explain why the example is not sufficient by itself.,The answer must separate the example from the caveat.,"Example: A classifier can learn from inspection records labeled defect and non-defect, while a regressor can predict a continuous measurement such as cycle time. Why that is not sufficient by itself: Performance depends on representative data and trustworthy labels, and the evaluation split must prevent leakage from repeated units, customers, or time periods.",Example generation,intermediate,supervised learning,expert-curated-v3-topic-card,train
ml_ds_v3_0307,Generate a small example of threshold tuning.,,A fraud model outputs probabilities. At threshold 0.5 it catches 70 percent of fraud with few false alerts; at 0.3 it catches 90 percent but doubles reviews. The team chooses a threshold based on fraud cost and analyst capacity.,Example generation,beginner,applied machine learning,self-authored-synthetic,train
ml_ds_v3_0168,Answer an interview question about long short-term memory network in a concise but technically complete way.,"State what it is, when it is useful, and one caveat.","An LSTM is a recurrent architecture with gates that control what information is stored, forgotten, and exposed. It is useful when an LSTM can model temporal patterns in equipment measurements. The main caveat is that lSTMs are sequential and can be slower to train than parallel Transformer architectures.",Interview-style answer,intermediate,long short-term memory network,expert-curated-v3-topic-card,train
ml_ds_v3_0256,Answer an interview question about quality analytics classification in a concise but technically complete way.,"State what it is, when it is useful, and one caveat.","Quality analytics classification predicts a discrete quality outcome such as pass, fail, defect type, or escalation category. It is useful when predict whether a complaint is likely to require engineering escalation from non-confidential structured features. The main caveat is that labels may reflect inconsistent human decisions, and repeated customers or products must be separated during validation.",Interview-style answer,intermediate,quality analytics classification,expert-curated-v3-topic-card,train
ml_ds_v3_0288,Answer an interview question about F1-score in a concise but technically complete way.,"State what it is, when it is useful, and one caveat.",F1-score is the harmonic mean of precision and recall. It is useful when f1-score is useful for comparing classifiers on an imbalanced dataset when precision and recall are both important. The main caveat is that it ignores true negatives and does not encode the actual cost of false positives versus false negatives.,Interview-style answer,intermediate,F1-score,expert-curated-v3-topic-card,train
ml_ds_v3_0261,Answer an interview question about underfitting in a concise but technically complete way.,"State what it is, when it is useful, and one caveat.","Underfitting occurs when a model is too simple, poorly trained, or missing important features, so it performs poorly on both training and unseen data. It is useful when a straight-line model may underfit a strongly nonlinear relationship between temperature and defect risk. The main caveat is that adding complexity is not the only remedy; data quality, feature representation, optimization, and label noise should also be investigated.",Interview-style answer,intermediate,underfitting,expert-curated-v3-topic-card,test
ml_ds_v3_0079,Create a checklist for deciding whether a LoRA assistant is ready for Hugging Face deployment.,Present actionable steps and include evaluation or governance safeguards.,"Confirm that the adapter and tokenizer load against the intended base model; the app reports adapter mode rather than fallback; deterministic sample prompts work; latency and memory fit the Space; automated metrics and human review are complete; severe hallucinations are addressed; model and dataset cards disclose limitations; no private data are included; and the release manifest identifies the exact adapter, dataset, code version, and evaluation results.",ML project guidance,intermediate,deployment readiness,expert-curated-v3-workflow,train
ml_ds_v3_0128,Outline a human factual-review workflow for an educational language model.,Present actionable steps and include evaluation or governance safeguards.,"Use a held-out prompt set with reference answers and clear scoring rubrics. Review all high-risk or low-scoring responses, all code outputs, advanced questions, and a stratified sample from each category. Score factuality, relevance, clarity, instruction following, and hallucination. Record the preferred model and reviewer notes. Do not promote the adapter until severe errors are addressed and the improved run is evaluated on the same untouched benchmark.",ML project guidance,intermediate,LLM factual review,expert-curated-v3-workflow,train
ml_ds_v3_0104,Explain why a second experiment should improve data quality rather than only increasing training epochs.,Present actionable steps and include evaluation or governance safeguards.,"If the first adapter produces fluent but incorrect or circular answers, more epochs can reinforce the same weak targets. The next experiment should remove low-quality records, add reviewed anchor answers, balance weak topics, and preserve the benchmark. Training settings can be refined, but the central hypothesis should be that higher-quality supervision improves factuality and instruction following.",ML project guidance,intermediate,second experiment decision,expert-curated-v3-workflow,train
ml_ds_v3_0243,Build a binary classification project.,,"Define the decision and positive class, collect representative labeled data, split without leakage, build a simple baseline, engineer features, compare models with suitable metrics, tune the decision threshold, perform error analysis, document limitations, and monitor after deployment.",ML project guidance,intermediate,end-to-end workflow,self-authored-synthetic,validation
ml_ds_v3_0138,Explain BERTScore and mention one limitation.,,"BERTScore compares candidate and reference text using contextual token embeddings. It captures semantic similarity better than exact overlap, but it is not a direct test of factual correctness.",Metric explanation,intermediate,model evaluation,self-authored-synthetic,train
ml_ds_v3_0204,Explain ROC-AUC and mention one limitation.,,"ROC-AUC measures how well a classifier ranks positives above negatives across thresholds. It can look optimistic on highly imbalanced data, so precision-recall metrics may also be needed.",Metric explanation,intermediate,model evaluation,self-authored-synthetic,train
ml_ds_v3_0073,Explain recall and mention one limitation.,,"Recall is true positives divided by all actual positives. Use it when missing a positive case is costly, while reviewing precision to understand false alarms.",Metric explanation,intermediate,model evaluation,self-authored-synthetic,train
ml_ds_v3_0198,Explain MAE and mention one limitation.,,Mean absolute error averages the absolute prediction errors. It is expressed in the target's units and is less sensitive to large errors than RMSE.,Metric explanation,intermediate,model evaluation,self-authored-synthetic,test
ml_ds_v3_0271,Describe a safe ML approach for root-cause prioritization.,,"Use historical, non-confidential features to rank likely root-cause categories, keep a human engineer as the final decision-maker, show confidence and explanations, measure top-k accuracy, monitor drift, and avoid presenting model suggestions as confirmed causes.",Quality analytics,intermediate,quality analytics,self-authored-synthetic,train
ml_ds_v3_0263,"Give a concrete, non-confidential quality analytics use of F1-score and explain one risk.","Use a manufacturing, inspection, complaint, or process setting without private company data.",Quality use case: Report F1 together with the confusion matrix and class prevalence rather than using it as the only success measure. Risk or limitation: It ignores true negatives and does not encode the actual cost of false positives versus false negatives.,Quality analytics,intermediate,F1-score,expert-curated-v3-topic-card,train
ml_ds_v3_0252,"Give a concrete, non-confidential quality analytics use of PR-AUC and explain one risk.","Use a manufacturing, inspection, complaint, or process setting without private company data.","Quality use case: Use PR-AUC to compare rare-failure models evaluated on the same representative test population. Risk or limitation: PR-AUC depends on positive-class prevalence, so values from datasets with different prevalence are not directly comparable.",Quality analytics,intermediate,PR-AUC,expert-curated-v3-topic-card,validation
ml_ds_v3_0183,"Give a concrete, non-confidential quality analytics use of missing values and explain one risk.","Use a manufacturing, inspection, complaint, or process setting without private company data.","Quality use case: Track missing-rate trends by instrument and include a missing indicator when absence may reflect a process issue. Risk or limitation: Imputation must be learned from training data, and missingness itself may change after deployment.",Quality analytics,intermediate,missing values,expert-curated-v3-topic-card,train
ml_ds_v3_0071,Show how to inspect precision and recall at multiple probability thresholds.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python import numpy as np from sklearn.metrics import precision_score, recall_score prob = model.predict_proba(X_valid)[:, 1] for threshold in np.arange(0.1, 1.0, 0.1): pred = (prob >= threshold).astype(int) precision = precision_score(y_valid, pred, zero_division=0) recall = recall_score(y_valid, pred, zero_division=0) print(f""{threshold:.1f} precision={precision:.3f} recall={recall:.3f}"") ``` Select the threshold on validation data, document the trade-off, and report final performance once on the untouched test set.",Small code example,advanced,threshold tuning,expert-curated-v3-code,train
ml_ds_v3_0016,Write a deterministic generation example for a FLAN-T5 educational assistant.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python prompt = ( ""Instruction: "" ""Explain precision and recall with one example and one caveat. "" ""Input: "" ""Response: "" ) inputs = tokenizer(prompt, return_tensors=""pt"").to(model.device) with torch.inference_mode(): generated = model.generate( **inputs, max_new_tokens=220, do_sample=False, num_beams=4, repetition_penalty=1.12, no_repeat_ngram_size=3, ) answer = tokenizer.decode(generated[0], skip_special_tokens=True) print(answer) ``` Deterministic decoding improves reproducibility but does not replace factual evaluation.",Small code example,advanced,inference generation,expert-curated-v3-code,train
ml_ds_v3_0068,Show a PEFT LoRA configuration for a T5 sequence-to-sequence model.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from peft import LoraConfig, TaskType lora_config = LoraConfig( task_type=TaskType.SEQ_2_SEQ_LM, r=32, lora_alpha=64, lora_dropout=0.05, target_modules=[""q"", ""v""], bias=""none"", ) ``` The target modules must match the model architecture. Adapter capacity should be selected through held-out evaluation rather than assumed from rank alone.",Small code example,advanced,LoRA configuration,expert-curated-v3-code,train
ml_ds_v3_0126,Give a logistic-regression example that handles class imbalance with class weights.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from sklearn.linear_model import LogisticRegression model = LogisticRegression( class_weight=""balanced"", max_iter=1000, random_state=42 ) model.fit(X_train, y_train) ``` `class_weight=""balanced""` increases the contribution of minority-class errors according to class frequency. It should be compared with unweighted training using precision-recall metrics on representative validation data.",Small code example,advanced,class weights,expert-curated-v3-code,validation
ml_ds_v3_0376,Give a portfolio-ready interview answer comparing probability calibration and discrimination.,Do not claim that one is universally better.,"Calibration asks whether probabilities match observed frequencies, while discrimination asks whether positives are ranked above negatives. Prioritize calibration when probabilities drive resource or risk decisions. Prioritize discrimination when ranking cases is the main goal. The choice is context-dependent because a model can be strong on one property and weak on the other.",Interview-style answer,advanced,probability calibration vs discrimination,expert-curated-v3-comparison,train
ml_ds_v3_0340,Write a short example that evaluates probability calibration.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from sklearn.calibration import calibration_curve from sklearn.metrics import brier_score_loss prob = model.predict_proba(X_test)[:, 1] fraction_positive, mean_predicted = calibration_curve( y_test, prob, n_bins=10, strategy=""quantile"" ) print(""Brier score:"", brier_score_loss(y_test, prob)) calibration_table = pd.DataFrame({ ""mean_predicted_probability"": mean_predicted, ""observed_positive_rate"": fraction_positive, }) print(calibration_table) ``` Use a validation set for any recalibration step and reserve the test set for final reporting.",Small code example,advanced,calibration curve,expert-curated-v3-code,test
ml_ds_v3_0226,Give a portfolio-ready interview answer comparing one-hot encoding and embeddings.,Do not claim that one is universally better.,"One-hot encoding gives each category an independent sparse indicator, while embeddings learn dense vectors that can capture similarity. Use one-hot encoding for low-cardinality categories and transparent linear models. Use embeddings for high-cardinality items or neural models where learned similarity is useful. The choice is context-dependent because embeddings require sufficient data and may encode unwanted bias.",Interview-style answer,advanced,one-hot encoding vs embeddings,expert-curated-v3-comparison,train
ml_ds_v3_0047,Give a portfolio-ready interview answer comparing precision and recall.,Do not claim that one is universally better.,"Precision measures correctness among predicted positives, whereas recall measures coverage among actual positives. Emphasize precision when false alarms are expensive. Emphasize recall when missing a true positive is expensive. The choice is context-dependent because the classification threshold usually trades one metric against the other.",Interview-style answer,advanced,precision vs recall,expert-curated-v3-comparison,train
ml_ds_v3_0369,Give a portfolio-ready interview answer comparing ROC-AUC and PR-AUC.,Do not claim that one is universally better.,"ROC-AUC summarizes ranking across true-positive and false-positive rates, while PR-AUC focuses on precision and recall for the positive class. Use ROC-AUC for broad discrimination comparisons. Use PR-AUC when the positive class is rare and positive-case performance is central. The choice is context-dependent because pR-AUC changes with prevalence, and both are threshold-independent summaries rather than operating-point metrics.",Interview-style answer,advanced,ROC-AUC vs PR-AUC,expert-curated-v3-comparison,train
ml_ds_v3_0103,Give a portfolio-ready interview answer comparing batch inference and online inference.,Do not claim that one is universally better.,"Batch inference scores many records on a schedule, while online inference returns predictions request by request with low latency. Use batch inference for periodic reports and large offline workloads. Use online inference when an application needs immediate responses. The choice is context-dependent because online systems require stronger latency, availability, and observability controls.",Interview-style answer,advanced,batch inference vs online inference,expert-curated-v3-comparison,validation
ml_ds_v3_0007,Show how to evaluate a preprocessing and logistic-regression pipeline with stratified cross-validation.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from sklearn.model_selection import StratifiedKFold, cross_validate from sklearn.pipeline import Pipeline from sklearn.preprocessing import StandardScaler from sklearn.linear_model import LogisticRegression pipeline = Pipeline([ (""scaler"", StandardScaler()), (""model"", LogisticRegression(max_iter=1000)) ]) cv = StratifiedKFold(n_splits=5, shuffle=True, random_state=42) scores = cross_validate( pipeline, X, y, cv=cv, scoring=[""precision"", ""recall"", ""f1"", ""roc_auc""], return_train_score=False ) print({name: values.mean() for name, values in scores.items() if name.startswith(""test_"")}) ``` Because the scaler is inside the pipeline, it is refit separately within every training fold.",Small code example,advanced,cross validation pipeline,expert-curated-v3-code,train
ml_ds_v3_0320,Show how to calculate permutation importance on held-out data.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from sklearn.inspection import permutation_importance result = permutation_importance( model, X_test, y_test, scoring=""f1"", n_repeats=20, random_state=42, n_jobs=-1, ) importance = ( pd.DataFrame({ ""feature"": X_test.columns, ""mean_drop"": result.importances_mean, ""std"": result.importances_std, }) .sort_values(""mean_drop"", ascending=False) ) print(importance.head(15)) ``` Permutation importance measures the performance drop after shuffling a feature; correlated features can share or mask importance.",Small code example,advanced,permutation importance,expert-curated-v3-code,train
ml_ds_v3_0020,Give a portfolio-ready interview answer comparing train validation test split and cross-validation.,Do not claim that one is universally better.,"A fixed split uses one validation partition, while cross-validation rotates validation across multiple folds. Use a fixed split for large datasets or time-ordered deployment simulations. Use cross-validation when data are limited and repeated estimates improve stability. The choice is context-dependent because the split strategy must respect groups, entities, and time in either approach.",Interview-style answer,advanced,train validation test split vs cross-validation,expert-curated-v3-comparison,train
ml_ds_v3_0241,"Create a concise evaluation snippet for precision, recall, F1-score, and the confusion matrix.","Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python from sklearn.metrics import ( classification_report, confusion_matrix, precision_score, recall_score, f1_score, ) pred = model.predict(X_test) print(""Precision:"", precision_score(y_test, pred)) print(""Recall:"", recall_score(y_test, pred)) print(""F1:"", f1_score(y_test, pred)) print(""Confusion matrix: "", confusion_matrix(y_test, pred)) print(classification_report(y_test, pred, digits=3)) ``` Choose the positive label deliberately and interpret the metrics with class prevalence and business costs.",Small code example,advanced,classification metrics,expert-curated-v3-code,test
ml_ds_v3_0294,Give a portfolio-ready interview answer comparing L1 regularization and L2 regularization.,Do not claim that one is universally better.,"L1 encourages sparse coefficients and can set some to zero, while L2 smoothly shrinks coefficients. Use L1 when sparsity and variable selection are desirable. Use L2 when many correlated predictors may each contribute some signal. The choice is context-dependent because scale features before applying either penalty.",Interview-style answer,advanced,L1 regularization vs L2 regularization,expert-curated-v3-comparison,train
ml_ds_v3_0393,Give a portfolio-ready interview answer comparing recurrent neural network and long short-term memory network.,Do not claim that one is universally better.,An LSTM is a gated recurrent network designed to retain information over longer spans than a basic RNN. Use a simple RNN for small sequence baselines when dependencies are short. Use an LSTM when longer temporal dependencies matter. The choice is context-dependent because both are sequential and may be slower than Transformer-based alternatives.,Interview-style answer,advanced,recurrent neural network vs long short-term memory network,expert-curated-v3-comparison,train
ml_ds_v3_0373,Explain how to compare two LoRA experiments fairly.,Present actionable steps and include evaluation or governance safeguards.,"Use the same base model, tokenizer, prompt template, decoding settings, and held-out benchmark. Record dataset versions and training configurations. Compare per-example responses, automated metrics, latency, hallucination flags, and human preferences. Report confidence intervals and category-level results. Promote the new experiment only if its gains are meaningful and it does not introduce severe regressions in important categories.",ML project guidance,advanced,experiment comparison,expert-curated-v3-workflow,train
ml_ds_v3_0258,Give a portfolio-ready interview answer comparing generative model and discriminative model.,Do not claim that one is universally better.,"A generative model represents how data or outputs can be produced, while a discriminative model directly predicts targets or decision boundaries. Use generative models for content generation, simulation, or modeling joint structure. Use discriminative models for focused prediction tasks. The choice is context-dependent because the distinction has several formal definitions, so the task and model family should be stated clearly.",Interview-style answer,advanced,generative model vs discriminative model,expert-curated-v3-comparison,test
ml_ds_v3_0219,Create a simple residual-analysis table for a regression model.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python prediction = model.predict(X_test) residual_table = pd.DataFrame({ ""actual"": y_test.to_numpy(), ""predicted"": prediction, }) residual_table[""residual""] = ( residual_table[""actual""] - residual_table[""predicted""] ) residual_table[""absolute_error""] = residual_table[""residual""].abs() print(residual_table.describe()) print(residual_table.nlargest(10, ""absolute_error"")) ``` Review the largest errors and plot residuals against predictions, time, and important subgroups.",Small code example,advanced,residual analysis,expert-curated-v3-code,train
ml_ds_v3_0030,Give a portfolio-ready interview answer comparing overfitting and underfitting.,Do not claim that one is universally better.,"Overfitting captures training-specific noise, while underfitting fails to capture the main signal. Address overfitting with simpler models, regularization, more representative data, or stronger validation. Address underfitting with better features, more appropriate model capacity, or improved optimization. The choice is context-dependent because a leakage-prone validation design can hide both problems.",Interview-style answer,advanced,overfitting vs underfitting,expert-curated-v3-comparison,train
ml_ds_v3_0364,Give a portfolio-ready interview answer comparing classification and regression.,Do not claim that one is universally better.,"Classification predicts categories, whereas regression predicts continuous numerical values. Use classification when the target is a label such as pass/fail or defect type. Use regression when the target is a quantity such as cycle time or concentration. The choice is context-dependent because the same algorithm family may support both tasks, but metrics, output interpretation, and error costs differ.",Interview-style answer,advanced,classification vs regression,expert-curated-v3-comparison,validation
ml_ds_v3_0317,Explain how to choose between a simple baseline and a more complex model for a portfolio project.,Present actionable steps and include evaluation or governance safeguards.,"Begin with a transparent baseline that establishes whether useful signal exists. Compare the complex model using the same leakage-safe folds, metrics, and preprocessing. Prefer the more complex model only when the gain is repeatable, practically important, and worth its latency, maintenance, and explainability cost. Show both results in the portfolio and explain the decision rather than presenting complexity as an achievement by itself.",ML project guidance,advanced,model selection,expert-curated-v3-workflow,train
ml_ds_v3_0039,Explain calibration in simple terms.,,"A calibrated classifier produces probabilities that match observed frequencies. For example, predictions near 0.8 should be correct about 80 percent of the time across similar cases.",Concept explanation,advanced,model evaluation,self-authored-synthetic,train
ml_ds_v3_0075,Show how to save a compact experiment metadata JSON file.,"Use Python and explain the leakage, evaluation, or reproducibility safeguard after the code.","```python import json from pathlib import Path metadata = { ""run_name"": run_name, ""base_model"": base_model_id, ""dataset_path"": str(dataset_path), ""seed"": seed, ""training_config"": training_config, ""metrics"": metrics, } output_path = Path(""outputs"") / run_name / ""experiment_metadata.json"" output_path.parent.mkdir(parents=True, exist_ok=True) output_path.write_text( json.dumps(metadata, indent=2, default=str), encoding=""utf-8"", ) ``` Include hardware and package versions so the experiment can be audited and reproduced.",Small code example,advanced,experiment metadata,expert-curated-v3-code,train
